Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
dbaa48b1-720a-f5f2-9360-ae6bb9321037,2022-04-19,,999-46-8625,,,,Georgine810,Caroyln232,Jacobs452,,,,white,nonhispanic,F,Boston  Massachusetts  US,674 Legros Ville,Marlborough,Massachusetts,Middlesex County,25017,01752,42.308589961113825,-71.56710741329738,6002.42,0.00,60469
8313967b-6432-89aa-090f-4d2b81558360,1989-12-26,,999-31-6504,S99917070,X12534338X,Mrs.,Suzanna632,Karissa612,Fay398,,Schulist381,M,white,nonhispanic,F,Hingham  Massachusetts  US,531 Collins Dam Unit 7,Leominster,Massachusetts,Worcester County,25027,01420,42.6150081318351,-71.77510820067182,257357.78,523549.41,43633
c525e0a9-c37c-419c-db08-86080b4b774d,1988-07-06,,999-84-5991,S99966682,X57704278X,Mr.,Johnson679,Warren653,Mann644,,,M,white,nonhispanic,M,Amesbury  Massachusetts  US,874 Hermann Extension Apt 54,Plymouth,Massachusetts,Plymouth County,25023,02360,41.8969807612544,-70.6645098520195,7576.94,161526.02,12746
ecb49d9e-4eb1-4743-237d-d8020ecd4f86,1943-10-22,,999-81-8785,S99942513,X26350147X,Mr.,Freeman822,Lamont867,Schowalter414,,,D,white,nonhispanic,M,Peabody  Massachusetts  US,459 Hackett Harbor,Lawrence,Massachusetts,Essex County,25009,01843,42.721493254763764,-71.16516497769288,22735.16,527081.23,14577
8bab136f-0ae3-e4be-3ef0-62d007e0d267,2004-02-29,,999-93-6499,S99940744,X71774583X,Mr.,Barrett790,Alfredo17,McDermott739,,,,asian,nonhispanic,M,Braintree  Massachusetts  US,162 Robel Approach Suite 64,Boston,Massachusetts,Suffolk County,25025,02111,42.311699518637695,-71.1073522233724,3621.16,37226.18,24550
2af8ff7f-722e-cf17-fbf0-64603ad9843d,2024-10-26,,999-52-1044,,,,Tonya123,Willie882,Wunsch504,,,,white,nonhispanic,F,Milford  Massachusetts  US,224 Williamson Road Apt 17,Needham,Massachusetts,Norfolk County,25021,02494,42.24065806976157,-71.27570731354572,1738.37,1121.46,909205
58cc9c96-6e85-78d1-1a01-9574c942e5b9,2012-06-12,,999-28-9739,,,,Herbert830,Kim439,Auer97,,,,white,hispanic,M,Waltham  Massachusetts  US,1088 Buckridge Ranch,Northbridge,Massachusetts,Worcester County,,00000,42.13428353403576,-71.6338084159769,44397.84,7787.31,53337
c7e0b4d2-3d3a-5808-bd32-4f605867485e,1981-09-26,,999-67-6428,S99956062,X57613337X,Mr.,Valentin929,Jackson413,Lebsack687,,,M,white,nonhispanic,M,Chicopee  Massachusetts  US,394 Wiegand Ferry Suite 24,Westport,Massachusetts,Bristol County,,00000,41.598419300383306,-71.09716542974591,92849.29,41621.57,145122
54073b02-3acc-c785-7f73-4912b03ced4d,1951-02-03,,999-26-4482,S99939277,X16965552X,Mr.,Will178,Eugenio846,Rempel203,,,S,white,nonhispanic,M,Tisbury  Massachusetts  US,777 Runolfsson Common,North Falmouth,Massachusetts,Barnstable County,25001,02556,41.65377353167835,-70.64058932968584,207687.40,139123.65,50350
5966a5da-5700-3719-47a7-519b01444811,1987-06-07,,999-84-8171,S99979900,X82072052X,Mr.,Kennith515,Weston546,Lang846,,,M,white,nonhispanic,M,Worcester  Massachusetts  US,658 Bergstrom Manor Apt 46,Lowell,Massachusetts,Middlesex County,25017,01851,42.599161271594035,-71.3392194873495,122605.78,601696.94,40916
